#{"t_start": 1780600309.3689928, "env_id": "None"}
r,l,t,n_delivered,n_invalid,n_empty_grab,n_physics_attempts,sum_grasp_quality,sum_disturb_m,sum_disturb_raw_m,max_disturb_m,n_ejected,n_predicate_succ,n_objects_initial
84.27063,60,160264.401045,17,0,0,60,22.400000000000002,0.8047107543209592,1.5019779561612054,0.10599211003570107,1,17,20
78.30832,60,160278.523641,15,0,2,58,23.200000000000006,0.865857606079142,1.7167556280904344,0.0704001502350471,0,15,20
73.70574,60,160281.102369,14,0,1,59,15.799999999999999,0.8271402974864119,1.615429176711333,0.07755051797502553,0,14,20
79.26702,60,160284.034404,15,0,0,60,22.200000000000003,0.7765089152485557,1.583818909558325,0.056614671425318834,0,15,20
76.439514,60,160287.04707,15,0,6,54,21.0,0.5302633415031034,1.1081118764987732,0.09420724956812596,0,15,20
61.12477,60,160291.568457,10,0,1,59,11.600000000000001,0.46760209765995464,1.0969963048490754,0.05031068484234308,0,10,20
78.63983,60,160291.568557,16,0,4,56,19.8,0.48010682782855124,1.096550775714163,0.0710253205695664,1,16,20
69.23178,60,160291.568584,13,0,2,58,16.8,0.9641208740549505,1.748172184693575,0.08302859759138538,1,13,20
71.34721,60,160291.568601,13,0,0,60,15.600000000000001,0.7263985663889003,1.4719982764105837,0.09715183114874258,0,13,20
73.81901,60,160310.839169,14,0,2,58,14.8,0.4105062504827835,1.079141492490803,0.03851932615344364,0,14,20
71.62045,60,160332.035259,13,0,0,60,16.2,0.679779388906038,1.3472575019355488,0.09681080917752653,0,13,20
71.065674,60,160359.166834,13,0,2,58,16.0,0.40717408323280446,0.9806609630249847,0.05824681749214191,0,13,20
68.08219,60,160395.114591,12,0,0,60,14.0,0.6589055300011883,1.3225621127028933,0.04048436563144484,0,12,20
69.308266,60,160410.59382,12,0,1,59,19.200000000000003,0.5358749568841535,1.2081809771483538,0.04467897742679748,0,12,20
73.69491,60,160429.85593,14,0,1,59,15.200000000000001,0.7025573480577998,1.2944605792987451,0.0885762612768835,0,14,20
88.80602,60,160446.601353,18,0,1,59,23.800000000000004,0.49700031453589655,1.1601363844671906,0.07233193788557127,0,18,20
73.31097,60,160449.657227,13,0,0,60,21.000000000000007,0.5145331834190662,1.0653138875144654,0.0684926264608282,0,13,20
74.00647,60,160452.645362,14,0,1,59,19.400000000000002,0.7167724539415155,1.5120117304946332,0.10444107607790452,1,14,20
70.38699,60,160455.666603,13,0,2,58,21.400000000000006,0.8065027918531894,1.6773231623090321,0.06501689116831394,1,13,20
74.14589,60,160459.491824,14,0,0,60,17.4,0.5970695610718215,1.3943202425069847,0.04183903917399802,1,14,20
68.58729,60,160459.491935,12,0,0,60,17.800000000000004,0.9363672096220794,1.8632321423875156,0.0792174181919844,0,12,20
83.871735,60,160459.491966,17,0,0,60,20.200000000000003,0.6741505232370532,1.376108705341392,0.10060906059798927,1,17,20
66.62251,60,160459.491988,11,0,1,59,22.400000000000002,0.8387406811560775,1.929998170222906,0.05256951299950135,0,11,20
55.622154,60,160480.088693,9,0,2,58,15.0,1.4789207075565507,2.4300432174127673,0.09767688616239162,1,9,20
59.447594,60,160501.481773,9,0,0,60,20.400000000000002,1.3761989967385622,2.454017077452639,0.10851805468036585,0,9,20
74.976326,60,160530.65553,14,0,0,60,19.400000000000002,1.0218394203608843,2.1353457818219663,0.06915177886887583,0,14,20
58.206764,60,160562.324247,9,0,0,60,16.200000000000003,0.8866149381884539,1.9642351292010736,0.11755334139765354,1,9,20
77.99955,60,160577.554828,15,0,0,60,20.0,0.8102355703790889,1.584161907213271,0.07554760796730761,0,15,20
71.53568,60,160596.160988,13,0,0,60,17.0,0.8221515482762388,1.5552354413000482,0.10896265288346671,0,13,20
79.11363,60,160610.654284,16,0,5,55,23.200000000000003,0.983204835551958,1.8325155842815715,0.07672440908615338,0,16,20
86.70518,60,160612.762562,18,0,3,57,20.8,0.617427967881103,1.3771364271503275,0.08296593081509795,0,18,20
61.277683,60,160615.811824,10,0,1,59,15.6,1.0111522429011457,1.967233952779914,0.08770076276146818,0,10,20
80.21048,60,160618.839443,16,0,3,57,20.6,0.8147764454728792,1.5606457712019843,0.044577950555696653,0,16,20
74.23366,60,160621.774922,14,0,2,58,17.6,0.5631925089824424,1.251348583443637,0.049054341965403585,0,14,20
69.729324,60,160621.775026,13,0,4,56,19.0,0.7753304245564685,1.5628220946995761,0.06223502995009956,0,13,20
73.73602,60,160621.775053,14,0,2,58,18.0,0.6420032200426621,1.477121617939917,0.043283829067296616,0,14,20
81.12625,60,160621.775071,16,0,2,58,21.200000000000003,0.6968835155690144,1.4585399974000568,0.06763268844353838,0,16,20
78.13416,60,160640.679558,15,0,0,60,19.800000000000004,0.9829186128677195,1.933875482245758,0.06118052243744218,0,15,20
77.72976,60,160659.372221,16,0,6,54,18.2,0.4451500293327333,1.075995315566882,0.0665150020838182,1,16,20
70.22401,60,160685.941693,13,0,3,57,15.8,0.5480132923672775,1.3268586127069877,0.049357456526418854,0,13,20
79.57304,60,160715.854285,15,0,0,60,22.200000000000003,0.6434877216991352,1.4320685692233668,0.04487750028179711,0,15,20
78.31489,60,160730.614054,15,0,0,60,22.000000000000004,0.7025709548212498,1.4005022953120165,0.06330116719622227,1,15,20
81.98008,60,160751.04681,16,0,0,60,22.0,0.6599633960104808,1.5031777753218025,0.0396412157560054,0,16,20
70.82392,60,160764.609462,13,0,0,60,17.0,0.6980591638851111,1.3692052677201554,0.09737131491128696,1,13,20
76.475525,60,160766.950383,15,0,3,57,16.6,0.5822650383851963,1.1777589143007932,0.049889925014219676,0,15,20
75.12202,60,160769.96369,14,0,2,58,21.400000000000002,0.7689996862173906,1.453594462527476,0.0892840592741028,0,14,20
78.85298,60,160773.34225,15,0,0,60,22.600000000000005,0.5435141274992373,1.1997567747346272,0.11109436403144327,1,15,20
76.85967,60,160776.508011,15,0,2,58,18.200000000000003,0.8801782167295066,1.688367604421892,0.07284573766368045,0,15,20
67.40033,60,160776.508112,12,0,1,59,16.400000000000002,1.0498496358329439,1.9991688976659596,0.10436702362231266,0,12,20
