policy,n_objects,seed,episode_idx,cleared,n_delivered,n_steps,steps_to_clear,total_reward,sum_disturbance_m,sum_disturb_raw_m,max_disturb_m,mean_disturbance_per_attempt,n_invalid,n_empty_grab,n_physics_attempts,n_predicate_succ,n_failure_masked,n_ejected,wall_time_s
heuristic_augmented,10,1004,4,0,6,30,-1,34.34025571192601,0.0498721440369889,0.1430974057309209,0.013623407512706322,0.0016624048012329634,0,0,30,6,58,0,18.055280208587646
rl,10,1004,4,0,6,30,-1,35.24717664972384,0.07641167513807459,0.17165631322838645,0.02026646639532437,0.0025470558379358196,0,0,30,6,54,0,17.595601797103882
greedy_ggcnn,10,1005,5,0,3,30,-1,25.075246712364255,0.03237664381787858,0.1373834292952652,0.023658528307243087,0.0010792214605959527,0,0,30,3,54,0,18.9326913356781
random,10,1005,5,0,8,30,-1,41.704383872190185,0.027808063904902734,0.12229117171020647,0.023658528306706627,0.0009269354634967578,0,0,30,8,38,0,17.42429542541504
topdown,10,1005,5,0,7,30,-1,37.355063923565645,0.07246803821716682,0.1469391584333861,0.027889584038205264,0.002415601273905561,0,0,30,7,38,0,17.199920177459717
heuristic_augmented,10,1005,5,0,7,30,-1,37.41793736427493,0.0410313178625199,0.10097689420857424,0.023658528307202716,0.00136771059541733,0,0,30,7,34,0,17.29652190208435
rl,10,1005,5,0,7,30,-1,37.862870443058355,0.028564778470808957,0.08943837180634054,0.012550523662274748,0.0010579547581781095,0,3,27,7,44,0,15.988800764083862
greedy_ggcnn,10,1006,6,0,3,30,-1,24.60663364683125,0.026683176584379964,0.11751448685777727,0.01682552485500264,0.0008894392194793322,0,0,30,3,56,0,18.7355740070343
random,10,1006,6,0,9,30,-1,43.72864116179358,0.055679419103191935,0.13654674015573992,0.018902939800654724,0.001919979969075584,0,1,29,9,28,0,15.942795753479004
topdown,10,1006,6,0,8,30,-1,40.74042652820307,0.02978673589844949,0.08397739706622637,0.020688612793058666,0.000992891196614983,0,0,30,8,34,0,16.74398136138916
heuristic_augmented,10,1006,6,0,7,30,-1,37.876820296011566,0.051589851994199215,0.1360100897036436,0.026486238054498713,0.0017196617331399738,0,0,30,7,42,0,17.94342827796936
rl,10,1006,6,0,8,30,-1,40.882986039624235,0.07850698018786612,0.13454866701769083,0.027090656322260175,0.0026168993395955372,0,0,30,8,34,0,15.927132606506348
